id,name,description_en,manufacturer,part_number,price,currency,price_usd,us_rrp_usd,price_ratio,in_stock,url,category_group,subcategory,subcategory_description
85530,מעבד Intel Core i7-14700F up to 5.40GHz 33MB Cache Raptor Lake Tray,Intel Core i7-14700F up to 5.40GHz 33MB Cache Raptor Lake Tray,Intel,,1250,ILS,403.75,300,1.35,True,https://www.ivory.co.il/catalog.php?id=85530,CPU,intel-cpus,Intel CPUs
85515,מעבד Intel Core i5-14400 up to 4.70GHz 20MB Cache Raptor Lake Tray,Intel Core i5-14400 up to 4.70GHz 20MB Cache Raptor Lake Tray,Intel,,995,ILS,321.38,210,1.53,True,https://www.ivory.co.il/catalog.php?id=85515,CPU,intel-cpus,Intel CPUs
45329,מעבד Intel Core i5-12400F Alder Lake Tray,Intel Core i5-12400F Alder Lake Tray,Intel,,599,ILS,193.48,150,1.29,True,https://www.ivory.co.il/catalog.php?id=45329,CPU,intel-cpus,Intel CPUs
113311,"מעבד Intel Core Ultra 9 285K 36M Cache, up to 5.70GHz Box","Intel Core Ultra 9 285K 36M Cache, up to 5.70GHz Box",Intel,,2715,ILS,876.95,780,1.12,True,https://www.ivory.co.il/catalog.php?id=113311,CPU,intel-cpus,Intel CPUs
113307,"מעבד Intel Core Ultra 7 265K 30M Cache, up to 5.50GHz Box","Intel Core Ultra 7 265K 30M Cache, up to 5.50GHz Box",Intel,,1420,ILS,458.66,530,0.87,True,https://www.ivory.co.il/catalog.php?id=113307,CPU,intel-cpus,Intel CPUs
85509,מעבד Intel Core i5-14400F up to 4.70GHz 20MB Cache Raptor Lake Tray,Intel Core i5-14400F up to 4.70GHz 20MB Cache Raptor Lake Tray,Intel,i5-14400F,750,ILS,242.25,190,1.27,True,https://www.ivory.co.il/catalog.php?id=85509,CPU,intel-cpus,Intel CPUs
126213,"מעבד Intel Core Ultra 7 265 30M Cache, up to 5.30GHz Tray","Intel Core Ultra 7 265 30M Cache, up to 5.30GHz Tray",Intel,Ultra 7 265,1399,ILS,451.88,420,1.08,True,https://www.ivory.co.il/catalog.php?id=126213,CPU,intel-cpus,Intel CPUs
80285,מעבד Intel Core i9-14900K up to 5.60GHz 36MB Cache Raptor Lake Box,Intel Core i9-14900K up to 5.60GHz 36MB Cache Raptor Lake Box,Intel,i9-14900K,1989,ILS,642.45,580,1.11,True,https://www.ivory.co.il/catalog.php?id=80285,CPU,intel-cpus,Intel CPUs
43093,מעבד Intel Core i5-12400 Alder Lake Tray,Intel Core i5-12400 Alder Lake Tray,Intel,i5-12400,845,ILS,272.94,170,1.61,True,https://www.ivory.co.il/catalog.php?id=43093,CPU,intel-cpus,Intel CPUs
43099,מעבד Intel Core i7-12700F Alder Lake Box,Intel Core i7-12700F Alder Lake Box,Intel,i7-12700F,1249,ILS,403.43,270,1.49,True,https://www.ivory.co.il/catalog.php?id=43099,CPU,intel-cpus,Intel CPUs
43412,מעבד Intel Core i7-12700F Alder Lake Tray,Intel Core i7-12700F Alder Lake Tray CPU,Intel,i7-12700F,1199,ILS,387.28,240,1.61,True,https://www.ivory.co.il/catalog.php?id=43412,CPU,intel-cpus,Intel CPUs
43970,מעבד Intel® Core™ i3-12100 Alder Lake Tray,Intel Core i3-12100 Alder Lake Tray CPU,Intel,i3-12100,615,ILS,198.65,120,1.66,True,https://www.ivory.co.il/catalog.php?id=43970,CPU,intel-cpus,Intel CPUs
65406,מעבד Intel® Core™ i5-12400F Alder Lake Box,Intel Core i5-12400F Alder Lake Box CPU,Intel,i5-12400F,610,ILS,197.03,155,1.27,True,https://www.ivory.co.il/catalog.php?id=65406,CPU,intel-cpus,Intel CPUs
80267,מעבד Intel Core i7-14700KF up to 5.50GHz 33MB Cache Raptor Lake Box,Intel Core i7-14700KF up to 5.50GHz 33MB Cache Raptor Lake Box CPU,Intel,i7-14700KF,1408,ILS,454.78,340,1.34,True,https://www.ivory.co.il/catalog.php?id=80267,CPU,intel-cpus,Intel CPUs
80282,מעבד Intel Core i9-14900K up to 5.60GHz 36MB Cache Raptor Lake Tray,Intel Core i9-14900K up to 5.60GHz 36MB Cache Raptor Lake Tray CPU,Intel,i9-14900K,1999,ILS,645.68,560,1.15,True,https://www.ivory.co.il/catalog.php?id=80282,CPU,intel-cpus,Intel CPUs
